Name	Tweet
Miley Cyrus (@MileyCyrus)	Dancing around my hotel room to "Look at me now" in my new Aussie booty shorts my fans gave me =] They got the aussie flag on em! SO CUTE!
Miley Cyrus (@MileyCyrus)	Thanks for bringing me to Caracas! Had a sickkkkk time =] wish i wasnt going so soon but cant wait for Columbia!!!!!!!!!!
Miley Cyrus (@MileyCyrus)	This sunset tonight makes life worth all the BS.
Miley Cyrus (@MileyCyrus)	Funny how things change. I only want consistent friends NOT convenient friends. #RadiateLove
Wayne Brady (@WayneBrady)	The Day In The Life By W. Brady  Wayne: Hello Person: I'm Wayne Brady Bitch!  Wayne: uh yeah.. (Uncomfortable silence passes) Wayne: Bye.
Wayne Brady (@WayneBrady)	@MeladiFaith15 thank you! I knew there was someone!
Wayne Brady (@WayneBrady)	@BuddhaRolls  @wickedimproper I think I a brother should, that's Wayne Brady white. You should rethink what you're saying about ppl and know
Wayne Brady (@WayneBrady)	Second car of the show!
Wayne Brady (@WayneBrady)	Got to wrap it up for now but I just want to thank everyone for Tweeting w myself and  @LetsMakeDealCBS. Keep on watching #LMAD
Wayne Brady (@WayneBrady)	.@StormChasingLiz I can honestly say no! Lol! I don't own a banana costume or 80's wig! Seriously though, it's a ton of pressure
Wayne Brady (@WayneBrady)	@Multitasking78 then that's your prerogative brother. I posted it bc it's also awareness for the show. Of you post something bad and make
Wayne Brady (@WayneBrady)	1 of those days I always dreamt of growing up! A really cool table read for a film I can't talk about, then off to Deal, then HIMYM!
Wayne Brady (@WayneBrady)	Why do I engage with assholes? I know the outcome! Lol! #twittermasochist
Wayne Brady (@WayneBrady)	Taking the entire fam to see  @jjones26 kill it w Color Me Bad! What?!? Old school celebration! Where're my Z Cavariccis? # Whatchaknoboudat
Selena Gomez (@selenagomez)	My heart is absolutely broken. I miss you Christina
Selena Gomez (@selenagomez)	My thoughts and prayers go out to everyone affected in Manchester.
Selena Gomez (@selenagomez)	Nana is my sunshine
Selena Gomez (@selenagomez)	Yo just know that I'm fully aware having the 'most' of anything isn't what's important. It's how you use your platform. Not how big it is
Selena Gomez (@selenagomez)	This industry is so disappointing yet the most influential smh
Selena Gomez (@selenagomez)	Praying for everyone in Mexico City. So devastated.
Selena Gomez (@selenagomez)	So devastated about the crisis in my home state of Texas. Let's all help- donating here in case you can too: http://bit.ly/2wLUn1r
Selena Gomez (@selenagomez)	Are you serious?!!!! I was literally just listening to her yesterday. She's SUCH a legend. #streamwithselena
Selena Gomez (@selenagomez)	I am at a complete loss for words watching yet another school shooting. This time in my home state of Texas. Congress continues to do absolutely nothing and it’s infuriating.
Selena Gomez (@selenagomez)	Sometimes I have to even if it's not perfected
Maisie Williams (@Maisie_Williams)	jus on ft with me mam and twitter pops up telling me i've been nominated for an emmy. Wtfahhahhaahhelpme
Maisie Williams (@Maisie_Williams)	A GIRL IS ARYA STARK OF WINTERFELL, AND I'M GOING HOME. #bitchisback #stillaryafromtheblock #teamarya
Maisie Williams (@Maisie_Williams)	Dying cos I've been walking around town all morning with two different shoes on. Ahahahahahahah
Maisie Williams (@Maisie_Williams)	Frog, Bean, Sundance, Nipper, Lil Shit. A few nicknames for my puppy, Sonny
Maisie Williams (@Maisie_Williams)	Anderson .Paak - Malibu - Celebrate
Maisie Williams (@Maisie_Williams)	chill your balls, man. It was a joke, my friend brought it back from Shanghai 🙄🙄🙄
Maisie Williams (@Maisie_Williams)	keep doing you m'am. Hope everything gets sorted soon x
Maisie Williams (@Maisie_Williams)	someone gonna spot my other tattoo yet or what....
Maisie Williams (@Maisie_Williams)	can tell im catching feelins when I start blasting tragic top 40 songs in me car 😫
Maisie Williams (@Maisie_Williams)	It's not Feb 2nd. Phew.
Justin Bieber (@justinbieber)	Wait a minute that’s my gurl
Justin Bieber (@justinbieber)	Praying for Santa Fe
Justin Bieber (@justinbieber)	Amazing show @ArianaGrande . Super proud of you. Had a moment mid show :) @billieeilish
Justin Bieber (@justinbieber)	Wishing everyone an amazing day
Justin Bieber (@justinbieber)	Aaron carter i had your album when I was little. And bumped the song Aaron’s party. I was like 7. if you need a hype man I got you.
Justin Bieber (@justinbieber)	Living in the US I see how this country affects not only people here but all around the world. There are so many things people need help with that I hope all of you who can get out and Vote and make your voices heard. I would if I could :)
Justin Bieber (@justinbieber)	My friend @TheEllenShow has a new comedy special on Netflix. Go check it out. Congrats Ellen!
Justin Bieber (@justinbieber)	@Morgan_Stewart imagine if you spent even half the time you spend laughing at other peoples expense actually building people up and encouraging people how much positivity you could bring. What hurts about this is the fact that you have a platform to make a difference
Justin Bieber (@justinbieber)	@itsjojosiwa I have nothing against you it was the car and the colors I didn’t like I really hope you didn’t think it was malicious or mean spirited
Justin Bieber (@justinbieber)	Praying for all those in pain
Sophie Turner (@sophieturner1)	Shoutout to all the girls whose one wish in life is be real life bffs with Tina Fey and Amy Poehler
Sophie Turner (@sophieturner1)	If you didn't get any presents today it's cos Santa was kinda busy hanging at my house.
Sophie Turner (@sophieturner1)	If you are getting hounded by a certain crazyballs twitter stalker after tweeting me, please report/block him. Also, my sincere apologies.
Sophie Turner (@sophieturner1)	@Byron_2nd endearing notes left where she will find them; roses for no reason; compliments galore; and don't forget chivalry is not dead!
Sophie Turner (@sophieturner1)	Bonjour, off to see some sights  @ Avenue des Champs-Élysées http://instagram.com/p/et08djJpns/
Sophie Turner (@sophieturner1)	So... how bout them Yankees!!!
Sophie Turner (@sophieturner1)	@Joker127565 This actually brought me to tears. To think, every day we're playing with fire. I think about those kids in CT every single day
Sophie Turner (@sophieturner1)	A Red Sox fan took me to the baseball game... I had to rep the blue to balance it out. Either way I… http://instagram.com/p/ddPR9Zppli/
Sophie Turner (@sophieturner1)	His timeline does make for a fascinating read if you're bored and want an insight into complete nutball insanity.
Sophie Turner (@sophieturner1)	I love Miami. Love the Heat. Its all freak natural compulsions and amaze
